耀	yao,yue
偲	si,cai
遴	lin
遵	zun
偶	ou
遶	rao
偷	tou
遹	yu
偻	lu:,lou
遽	ju
偾	fen
偿	chang
避	bi
邀	yao
傀	gui,kui
邂	xie
邃	sui
傅	fu
邆	deng
傈	li
邈	miao
邉	bian
邋	la
傍	bang
邑	yi
邓	deng
邔	qi
邕	yong
邗	han
邘	yu
邙	mang
邛	qiong
邝	kuang
邠	bin
邡	fang
邢	xing
那	nei,na
傣	dai
傥	tang
邦	bang
傧	bin
邧	yuan
邨	cun
储	chu
傩	nuo
邪	xie,ye
邬	wu
催	cui
邮	you
邯	han
邰	tai
邱	qiu
傲	ao
邲	bi
邳	pi
邴	bing
邵	shao
邶	bei
邸	di
邹	zou
邺	ye
邻	lin
傻	sha
邽	gui
邾	zhu
邿	shi
郁	yu
郃	he
郄	qie
郅	zhi
郇	xun,huan
郈	hou
郊	jiao
郍	nuo
郎	lang
像	xiang
郏	jia
郐	kuai
郑	zheng
郓	yun
郕	cheng
僖	xi
郗	xi
郙	fu
僚	liao
郚	wu
郛	fu
郜	gao
僜	deng
郝	hao
郞	lang
郡	jun
郢	ying
郤	xi
郦	li
僦	jiu
僧	seng
郧	yun
部	bu
郪	qi
郫	pi
僬	jiao
郭	guo
僭	jian
僮	tong,zhuang
郯	tan
僰	bo
郰	zou
僳	su
郳	ni
郴	chen
僵	jiang
郷	xiang
郸	dan
僻	pi
都	du,dou
郾	yan
郿	mei
鄀	ruo
鄂	e
鄃	yu
鄄	juan
鄅	yu
儆	jing
儇	xuan
儋	dan
鄋	sou
儍	sha
鄎	xi
鄑	zi
儒	ru
鄕	xiang
鄗	hao
鄘	yong
鄙	bi
鄚	mao
鄜	fu
鄞	yin
鄠	hu
儡	lei
鄡	qiao
鄢	yan
鄣	zhang
鄤	fan
鄩	xin
鄫	ceng
鄮	mao
鄯	shan
鄱	po
鄷	feng
鄹	zou
鄾	you
儿	r,er
鄿	qi
兀	wu
酀	yan
允	yun
酂	cuo
元	yuan
酃	ling
兄	xiong
充	chong
酅	xi
兆	zhao
酆	feng
先	xian
光	guang
酉	you
酊	ding
克	ke
酋	qiu
酌	zhuo
配	pei
免	wen,mian
酎	zhou
酏	yi
酐	gan
兑	dui
酒	jiu
酓	yan
兔	tu
酔	zui
兕	si
兖	yan
酖	dan,zhen
酗	xu
党	dang
酚	fen
兜	dou
酝	yun
酞	tai
酡	tuo
兢	jing
酢	cu,zuo
酣	han
酤	gu
入	ru
酥	su
酦	fa,po
內	nei
全	quan
酩	ming
酪	luo,lao
八	ba
公	gong
酬	chou
六	liu,lu
酮	tong
兮	xi
酯	zhi
兰	lan
酰	xian
共	gong
酱	jiang
酲	cheng
关	guan
兴	xing
兵	bing
酵	xiao,jiao
其	qi,ji
酶	mei
具	ju
酷	ku
酸	suan
典	dian
兹	ci,zi
酹	lei
酺	pu
养	yang
兼	jian
兽	shou
酽	yan
酾	shi,shai
酿	niang,nian
冀	ji
醂	lan
冂	jiong
内	nei
醅	pei
醇	chun
冇	mou,mao
冈	gang
醉	zui
冉	ran
醋	cu
册	ce
醌	kun
再	zai
醍	ti
冏	jiong
醐	hu
醒	xing
冒	mo,mao
冕	mian
冖	mi
冗	rong
醘	ke
写	xie
醚	mi
军	jun
醛	quan
农	nong
冠	guan
醡	zha
冢	zhong
醢	hai
醣	tang
冤	yuan
醤	jiang
冥	ming
醪	lao
冫	bing
冬	dong
醮	jiao
冯	ping,feng
醯	xi
冰	bing
冲	chong
决	jue
醴	li
况	kuang
醵	ju
冶	ye
冷	leng
醸	niang
醺	xun
冻	dong
冼	xian
冽	lie
净	jing
凄	qi
准	zhun
釆	bian
采	cai
凇	song
釈	shi
凉	liang
釉	you
释	shi
凋	diao
里	li
凌	ling
重	zhong,chong
野	ye
量	liang
减	jian
金	jin
凑	cou
凛	lin
釜	fu
凝	ning
几	ji
凡	fan
釡	fu
凤	feng
釪	yu
凫	fu
釬	han
凭	ping
釭	gong,gang
凯	kai
凰	huang
凳	deng
釴	yi
凵	qu,kan
凶	xiong
凸	tu,gu
凹	wa,ao
出	chu
釺	qian
击	ji
凼	dang
函	han
凿	zuo,zao
釿	yin
刀	dao
刁	diao
刂	dao
刃	ren
分	fen
切	qie
刈	yi
刊	kan
鈊	xin
刍	chu
刎	wen
鈏	yin
刑	xing
划	huai,hua
刖	yue
列	lie
刘	liu
鈘	yi
则	ze
刚	gang
创	chuang
鈜	hong
初	chu
删	shan
判	pan
鈤	ri
刨	bao,pao
利	li
别	bie
刭	jing
刮	gua
到	dao
刳	ku
鈵	bing
制	zhi
刷	shua
券	xuan,quan
刹	cha,sha
刺	ci
鈺	yu
刻	ke
刽	gui
刿	gui
剀	kai
剁	duo
剂	ji
剃	ti
鉄	tie
剉	cuo
削	xiao,xue
鉌	he
剌	la
前	qian
鉎	sheng
鉏	chu
剐	gua
剑	jian
剔	ti
剖	pou,po
剜	wan
剞	ji
鉟	pi
剡	yan,shan
剥	bao,bo
鉥	shu
剧	ju
鉨	ni
剩	sheng
剪	jian
鉮	shen
副	fu
鉱	kuang
割	ge
鉲	ka
鉴	jian
鉷	hong
剽	piao
剿	jia,jiao,chao
劂	jue
劄	zha
銆	mo
劈	pi
銎	qiong
劏	tang
劓	yi
銕	yi
銙	kua
力	li
劝	quan
办	ban
功	gong
加	jia
务	wu
劢	mai
劣	lie
动	dong
助	zhu
努	nu,nao
劫	jie
劬	qu
劭	shao
銭	qian
銮	luan
励	li
劲	jing,jin
銲	han
劳	lao
劵	juan
銶	qiu
効	xiao
劻	kuang
劼	jie
劾	he
銾	gong
势	shi
勃	bo
鋆	yun
勇	yong
鋈	wu
勉	mian
鋋	chan
勋	xun
勍	qing
勐	meng
鋐	hong
勒	lei,le
勔	mian
鋕	zhi
勖	xu
勘	kan
鋘	wu
募	mu
鋡	han
勤	qin
鋬	shi
勰	xie
鋳	zhu
鋷	zui
鋹	chang
勹	bao
勺	shao,shuo,biao
鋺	yuan
勾	gou
鋾	tao
勿	wu
匀	yun
包	bao
匆	cong
匈	xiong
匍	pu
錍	pi
匏	pao
匐	fu
匕	bi
化	hua
錖	du
北	bei
匙	chi,shi
匚	xi,fang
匝	za
錞	chun
匠	jiang
匡	kuang
錡	qi
匣	xia
錣	zhuo
錤	qi
匦	gui
錧	guan
匪	fei
錬	lian
匮	kui
錰	shu
錱	zhen
匹	ya,pi
区	qu,ou
医	yi
匾	bian
錾	zan
匿	ni
鍀	de
十	shi
千	qian
卅	sa
升	sheng
午	wu
卉	hui
半	ban
鍌	xian
卍	wan
华	hua
协	xie
鍏	wei
卑	bei
鍑	fu
卒	cu,zu
卓	zhuo
单	dan,shan,chan
卖	mai
南	na,nan
鍗	ti
鍙	hong
博	bo
卜	bu,bo
鍝	yu
卞	bian
卟	bu
鍟	xing
占	zhan
鍠	huang
卡	ka,qia
卢	lu
卣	you
卤	lu
卦	gua
鍦	she
卧	wo
鍩	nuo
卩	jie
鍪	mou
卫	wei
鍭	hou
卮	zhi
卯	mao
印	yin
危	wei
鍱	ye
即	ji
鍳	jian
却	que
卵	luan
卷	quan,juan
鍷	kui
卸	xie
鍹	xuan
卺	jin
卾	e
卿	qing
厂	han,chang,an
厄	e
厅	ting
鎅	jie
历	li
厉	li
压	ya
鎋	xia
厌	yan
厍	she
鎏	liu
厐	pang
鎓	weng
厕	ce,si
鎗	qiang
厘	li
厚	hou
鎜	pan
厝	cuo
原	yuan
厢	xiang
厣	yan
厥	jue
厦	xia,sha
厨	chu
厩	jiu
厮	si
鎴	xi
厶	si
鎶	ge
去	qu
县	xian
鏀	lu
叁	san
参	can,shen,cen
鏂	kou
鏄	tuan
鏅	xiu
又	you
叉	cha
及	ji
鏊	ao
友	you
鏋	man
双	shuang
反	fan
发	fa
鏓	huo
叔	shu
取	qu
鏖	ao
受	shou
变	bian
叙	xu
叛	pan
叟	sou
叠	die
叡	rui
口	kou
古	gu
句	ju,gou
另	ling
叨	tao,dao
叩	kou
只	zhi
叫	jiao
召	zhao,shao
叭	ba
叮	ding
可	ke
台	tai
叱	chi
史	shi
右	you
鏳	zheng
叵	po
叶	xie,ye
号	hao
司	si
鏸	hui
叹	tan
叻	le
鏻	lin
叼	diao
鏼	suo
叽	ji
吁	yu,xu
吃	chi,ji
各	ge
吆	yao
合	he,ge
吉	ji
吊	diao
鐊	yang
吋	cun
同	tong
名	ming
后	hou
吏	li
吐	tu
向	xiang
吒	zha
吓	xia,he
吕	lu:
吖	a
吗	ma
君	jun
吝	lin
吞	tun
吟	yin
吠	fei
吡	bi,pi
鐡	tie
鐤	ding
吥	pou
否	pi,fou
吧	ba
鐧	jian
吨	dun
吩	fen
鐩	sui
含	han
听	ting,yin
鐬	hui
吭	keng,hang
吮	shun
启	qi
吱	zhi,zi
吲	yin
吴	wu
吵	chao
吸	xi
吹	chui
吻	wen
吼	hou
吾	wu
吿	gao,gu
呀	ya
鑁	dang,zheng
鑂	xun
呃	e
鑃	yao,diao
鑅	heng
呆	ai,dai
呈	cheng
告	gao,gu
呋	fu
呎	chi
呐	na,ne
呒	m
呓	yi
鑓	qiang
呔	dai,tai
呕	ou
呖	li
呗	bei,bai
员	yuan,yun
呙	guo
鑙	ji
鑚	zuan
呛	qiang
鑛	kuang
呜	wu
呢	na,ne,ni
鑢	lu:
呣	mou
呤	ling
呦	you
周	zhou
鑨	long
鑫	xin
呯	ping
呱	gua,wa,gu
呲	ci,zi
味	wei
呵	a,ke,he
呶	nao
呷	xia
呸	pei
呻	shen
呼	hu
命	ming
咀	ju,zui
咂	za
咄	duo
钅	jin
咆	pao
钆	ga
咇	bie
钇	yi
针	zhen
钉	ding
钊	zhao
咋	zha,za,ze
钋	po
和	hai,huo,he,hu
钌	liao
钍	tu
钎	qian
咎	jiu
咏	yong
钏	chuan
钐	shan
咐	fu
钑	sa
钒	fan
咒	zhou
钓	diao
咔	ka
钔	men
咕	gu
钕	nu:
咖	ka,ga
钖	yang
钗	chai
钘	xing
咘	bu
钙	gai
咙	long
咚	dong
钚	bu
钛	tai
咛	ning
钜	ju
钝	dun
咝	si
钞	chao
钟	zhong
钠	na
钡	bei
钢	gang
钣	ban
咣	guang
钤	qian
咤	zha
钥	yao,yue
咥	xi,die
钦	qin
咦	yi
钧	jun
咧	lie
咨	zi
钨	wu
钩	gou
咩	mie
咪	mi
钪	kang
咫	zhi
钫	fang
咬	yao
钬	huo
钭	tou
咭	ji
钮	niu
钯	pa,ba
咯	lo,ka,luo,ge
钰	yu
钱	qian
咱	zan,za
咲	xiao
钲	zheng
钳	qian
咳	hai,kai,ka,ke
钴	gu
咴	hui
钵	bo
钶	ke
钷	po
咸	xian
钸	bu
钹	bo
钺	yue
钻	zuan
咻	xiu
钼	mu
咽	yan,ye
钽	tan
钾	jia
咾	lao
钿	tian,dian
咿	yi
哀	ai
铀	you
品	pin
铁	tie
铂	bo
哂	shen
铃	ling
哄	hong
铄	shuo
铅	qian,yan
哆	duo
铆	mao
哇	wa
铇	bao
哈	ka,ha
铈	shi
哉	zai
铉	xuan
铊	she,ta,tuo
铋	bi
哋	di
哌	pai
铌	ni
响	xiang
铍	pi
铎	duo
哎	ai
哏	gen
铏	xing
铐	kao
哐	kuang
哑	ya
铑	lao
哒	da
铒	er
哓	xiao
铓	mang
哔	bi
铔	ya
铕	you
哕	yue,hui
铖	cheng
哗	hua,ye
铗	jia
哙	kuai
铙	nao
铚	zhi
哚	duo
铛	dang,cheng
铜	tong
铝	lu:
哝	nong
哞	mou
哟	yo
铟	yin
铠	kai
铡	zha
铢	zhu
铣	xi,xian
铤	ding,ting
哥	ge
铥	diu
哦	e,wo,o
铦	xian
铧	hua
哧	chi
铨	quan
哨	shao
铩	sha
哩	li
哪	na,nei,ne,nai
铪	ha
铫	tiao,yao,diao
铬	ge
铭	ming
哭	ku
哮	xiao
铮	zheng
铯	se
铰	jia,jiao
铱	yi
哲	zhe
铲	chan
铳	chong
铵	an
银	yin
铷	ru
铸	zhu
铹	lao
铺	pu
哺	bu
铻	wu
哼	hng,heng
铼	lai
哽	geng
铽	te
链	lian
铿	keng
销	xiao
锁	suo
唁	yan
锂	li
锃	zeng
锄	chu
锅	guo
唆	suo
锆	gao
唇	chun
锇	e
锈	xiu
锉	cuo
唉	ai
锊	lu:e
锋	feng
锌	xin
锍	liu
锎	kai
唏	xi
锏	jian
锐	rui
唐	tang
锑	ti
唑	zuo
锒	lang
锓	qin
唔	ng,wu,n
锔	ju
锕	a
锖	qing,qiang
锗	zhe,zang
锘	nuo
错	cuo
锚	mao
唛	ma
锛	ben
锜	qi
锝	de
锞	ke
锟	kun
锠	chang
唠	lao
锡	xi
唢	suo
锢	gu
锣	luo
锤	chui
唤	huan
锥	zhui
锦	jin
唧	ji
锧	zhi
锨	xian
唪	feng
锫	pei
唬	xia,hu
锬	tan
锭	ding
键	jian
售	shou
锯	ju
唯	wei
锰	meng
唰	shua
唱	chang
锱	zi
锲	qie
唳	li
锳	ying
锴	kai
锵	qiang
唵	an
锶	si
锷	e
唷	yo
锸	cha
锹	qiao
锺	zhong
锻	duan
唼	sha
锼	sou
锽	huang
唾	tuo
锾	huan
锿	ai
唿	hu
镀	du
镁	mei
啁	zhao,zhou
镂	lou
啃	ken
镃	zi
啄	zhuo
镄	fei
镅	mei
商	shang
镆	mo
镇	zhen
镈	bo
啉	lin
镉	ge
啊	a
镊	nie
镋	tang
镌	juan
镍	nie
镎	na
镏	liu
镐	gao,hao
啐	cui
镑	bang
镒	yi
镓	jia
镔	bin
镕	rong
啕	tao
镖	biao
啖	dan
镗	tang
镘	man
镚	beng
镛	yong
镜	jing
啜	chuo,chuai
镝	di
镞	zu
镟	xuan
镠	liu
啡	fei
镡	tan,chan,xin
镢	jue
镣	liao
镤	pu
啤	pi
啥	sha
镥	lu
啦	la
镦	dui,dun
啧	ze
镧	lan
镨	pu
啪	pa
镪	qiang
镫	deng
啫	zhe
镬	huo
啬	se
镭	lei
啭	zhuan
啮	nie
镮	huan
镯	zhuo
啰	luo
镰	lian
镱	yi
镲	cha
镳	biao
镴	la
镵	chan
啵	bo
镶	xiang
啶	ding
啷	lang
啸	xiao
啻	chi
啼	ti
啾	jiu
长	chang,zhang
喀	ka,ke
喁	yong
喂	wei
喃	nan
善	shan
喆	zhe
喇	la
閇	bi
喈	jie
喉	hou
喊	han
喋	die,zha
喏	re,nuo
喑	yin
喔	wo,o
喘	chuan
喙	hui
閙	nao
喜	xi
喝	he
喟	kui
閟	bi
関	guan
喦	nie
閦	chu
喧	xuan
閧	hong
閰	yan
喱	li
喳	zha,cha
喵	miao
喷	pen
喹	kui
喺	xi
喻	yu
喽	lou
喾	ku
嗄	a,sha
嗅	xiu
闇	an
嗉	su
嗌	yi,ai
嗍	suo
嗑	ke
嗒	da,ta
嗓	sang
嗔	chen
嗖	sou
闗	guan
闘	dou
嗜	shi
嗝	ge
嗞	zi
嗟	jie,jue
嗡	weng
嗣	si
嗤	chi
嗥	hao
嗦	suo
门	men
嗨	hai,hei
闩	shuan
闪	shan
嗪	qin
闫	yan
嗫	nie
嗬	he
闬	han
闭	bi
问	wen
嗮	sai
闯	chuang
嗯	ng,n
闰	run
闱	wei
闲	xian
嗲	dia
嗳	ai
闳	hong
间	jian
闵	min
嗵	tong
闶	kang
闷	men
嗷	ao
闸	zha
闹	nao
闺	gui
闻	wen
闼	ta
闽	min
嗽	sou
闾	lu:
嗾	sou,zu
闿	kai
阀	fa
嘀	di
阁	ge
阂	he
阃	kun
阄	jiu
阅	yue
嘅	kai
阆	lang
阇	du,she
嘈	cao
阈	yu
嘉	jia
阉	yan
阊	chang
阋	xi
嘌	piao
阌	wen
阍	hun
阎	yan
嘎	ga
阏	e,yan
嘏	jia,gu
阐	chan
阑	lan
阒	qu
阓	hui
阔	kuo
阕	que
阖	he
阗	tian
嘘	shi,xu
阙	que
阚	han,kan
嘚	de,dei
嘛	ma
阛	huan
阜	fu
阝	yi,fu
嘞	lei
队	dui
嘟	du
阡	qian
嘢	ye
嘣	beng
嘤	ying
嘧	mi
阨	e
阪	ban
阬	keng
嘬	zuo,zhuai,chuai
嘭	peng
阭	yun
阮	ruan
阯	zhi
嘱	zhu
阱	jing
防	fang
嘲	zhao,chao
阳	yang
嘴	zui
阴	yin
阵	zhen
阶	jie
嘶	si
嘹	liao
阻	zu
嘻	xi
阼	zuo
阽	yan,dian
阿	a,e
嘿	hai,mo,hei
陀	tuo
噁	wu
陁	tuo
陂	bei,pi,po
附	fu
际	ji
陆	lu,liu
陇	long
陈	chen
陉	xing
陋	lou
陌	mo
噌	ceng,cheng
降	xiang,jiang
噍	jiao
噎	ye
噏	xi
限	xian
噔	deng
陔	gai
陕	shan
噗	pu
噘	jue
噙	qin
陛	bi
噜	lu
陜	shan
陞	sheng
陟	zhi
陡	dou
院	yuan
噢	o
除	chu
噤	jin
陥	xian
器	qi
陨	yun
险	xian
噩	e
陪	pei
噪	zao
噫	yi
噬	shi
陬	zou
噱	xue,jue
陲	chui
陴	pi
陵	ling
陶	tao,yao
噶	ga
陷	xian
険	xian
噻	sai
噼	pi
隂	yin
隃	yu
隄	ti
隅	yu
嚅	ru
隆	long
嚆	hao
隈	wei
隋	sui
隍	huang
嚎	hao
随	sui
嚏	ti
隐	yin
隑	gai
嚓	cha,ca
隔	ge
隗	wei,kui
隘	ai
隙	xi
障	zhang
隞	ao
隠	yin
嚣	xiao,ao
隣	lin
隤	tui
隧	sui
隩	yu
嚯	huo
隰	xi
隲	zhi
隳	hui
隶	li
嚷	rang
隷	li
隹	cui,zhui
隺	he
嚼	jue,jiao
隼	sun,zhun
隽	jun,juan
难	nan
雀	que,qiao
雁	yan
雄	xiong
雅	ya
集	ji
雇	gu
雉	zhi
囊	nang
雊	gou
雌	ci
雍	yong
囍	xi
雎	ju
雏	chu
雑	za
雒	luo
囓	nie
囔	nang
雕	diao
囗	wei
雘	huo
囚	qiu
四	si
囝	nan,jian
雝	yong
回	hui
囟	xin
雟	sui
因	yin
雠	chou
囡	nan
团	tuan
囤	dun,tun
囧	jiong
雨	yu
雩	yu
雪	xue
囫	hu
雫	na
园	yuan
雯	wen
囯	guo
困	kun
雰	fen
雱	pang
囱	cong
雳	li
围	wei
囵	lun
零	ling
雷	lei
雹	bao
囹	ling
固	gu
国	guo
图	tu
雾	wu
囿	you
需	xu
霁	ji
圃	pu
霄	xiao
圄	yu
霅	zha
圆	yuan
霆	ting
震	zhen
圈	quan,juan
霈	pei
霉	mei
圉	yu
霊	ling
霍	huo
霎	sha
霏	fei
霑	zhan
霓	ni
霔	chou
霖	lin
霙	ying,ji
霚	wu
霜	shuang
圜	yuan,huan
霞	xia
土	tu
圣	sheng
霤	liu
霦	bin
在	zai
霨	wei
圩	wei,xu
圪	ge
霪	yin
霫	xi
圬	wu
霬	yi
圭	gui
霭	ai
圮	pi
圯	yi
地	de,di
霰	san,xian
霱	yu
露	lou,lu
圳	zhen
霳	long
霶	pang
霸	ba
霹	pi
圹	kuang
场	chang
圻	qi,yin
霾	mai
圾	ji
址	zhi
坂	ban
均	jun,yun
靇	long
坊	fang
坌	ben
坍	tan
坎	kan
坏	huai,pei,pi
坐	zuo
坑	keng
靑	qing
青	qing
靓	jing,liang
靖	jing
块	kuai
静	jing
坚	jian
坛	tan
靛	dian
坜	li
坝	ba
非	fei
坞	wu
坟	fen
靠	kao
坠	zhui
坡	po
靡	mi
面	mian
靣	mian
坤	kun
靥	ye
坦	tan
坨	tuo
革	ge,ji
坩	gan
坪	ping
靫	ren
坫	dian
靬	jian
坭	ni
靭	ren
坯	pi
靰	wu
靱	ren
靳	jin
坳	ao
靴	xue
靶	ba
坶	mu
坷	ke
靸	sa
靺	mo
坻	chi,di
靼	da
坼	che
垂	chui
垃	la
垄	long
鞄	pao
鞅	yang
垅	long
垆	lu
鞆	mo
型	xing
鞋	xie
鞌	an
垌	tong,dong
鞍	an
鞑	da
垒	lei
垓	gai
鞔	wan,man
垕	hou
鞗	tiao
鞘	qiao,shao
垚	yao
垛	duo
鞞	bing
垟	yang
鞠	ju
垠	yin
垡	fa
鞡	la
垢	gou
垣	yuan
鞣	rou
垤	die
鞥	yi,eng
垦	ken
垧	shang
鞨	he
垩	e
垫	dian
鞫	ju
鞬	jian
鞭	bian
垭	ya
垮	kua
鞮	di
垯	da
鞯	jian
垱	dang
垲	kai
鞲	gou
鞴	bei
垴	nao
垵	an
鞶	pan
垸	yuan,huan
垾	han
埂	geng
埃	ai
埇	yong
韈	wa
埋	mai,man
城	cheng
埏	shan
埒	lie,le
埔	bu,pu
埕	cheng
埗	bu
埘	shi
埙	xun
埚	guo
埝	nian
域	yu
埠	bu
韡	wei
埤	bei,bi,pi
韦	wei
韧	ren
韨	fu
韩	han
韪	wei
韫	yun
韬	tao
韭	jiu
埭	dai
韮	jiu
埯	an
音	yin
埴	zhi
韴	za
韵	yun
韶	shao
埸	yi
培	pei
基	ji
韺	ying
埼	qi
埽	sao
韾	yin
堀	ku,jue
頀	hu
堂	tang
堃	kun
堆	dui,zui
堇	jin
堉	yu
頋	gu
堌	gu
堍	tu
堎	leng,ling
堑	qian
頔	di
堕	hui,duo
頖	pan
堙	yin
頙	cheng
頚	geng,jing
頞	e
堞	die
頟	e
堠	hou
頠	wei
堡	bao,bu,pu
頣	shen
堤	di,ti
堦	jie
頨	pian
堪	kan
頪	lei
頫	fu
堰	yan
堵	du
堺	jie
頼	lai
堽	gang
塄	leng
塆	wan
塌	ta
塍	cheng
塑	su
顒	yong
塔	ta,da
顔	yan
顕	xian
塘	tang
塚	zhong
顚	dian
塞	se,sai
填	tian
塬	yuan
塭	wen
页	ye
顶	ding
顷	qing
顸	han
项	xiang
顺	shun
须	xu
顼	xu
顽	wan
顾	gu
塾	shu
顿	du,dun
颀	qi
墀	chi
颁	ban
墁	man
颂	song
境	jing
颃	hang
预	yu
颅	lu
墅	shu
领	ling
颇	po
颈	geng,jing
墉	yong
颉	xie,jie
颊	jia
颋	ting
颌	he,ge
颍	ying
颎	jiong
颏	ke
颐	yi
频	pin
墒	shang
墓	mu
颓	tui
颔	han
墕	yan
颕	ying
颖	ying
颗	ke
増	zeng
题	ti
墘	qi
墙	qiang
颙	yong
颚	e
颛	zhuan
颜	yan
额	e
增	zeng
颞	nie
颟	man
墟	xu
颠	dian
颡	sang
颢	hao
颣	lei
颤	zhan,chan
颥	ru
颦	pin
颧	quan
墨	mo
墩	dun
墼	ji
颿	fan
壁	bi
飂	liao
壅	yong
壆	xue
风	feng
飏	yang
飐	zhan
壑	huo,he
飑	biao
飒	sa
飓	ju
壕	hao
飕	sou
飖	yao
飘	piao
飙	biao
飚	biao
飞	fei
食	yi,shi,si
飡	can
壤	rang
飧	sun
飨	xiang
士	shi
壬	ren
飬	juan
壮	zhuang
飮	yin
声	sheng
壳	qiao,ke
壶	hu
壹	yi
夂	zhi
处	chu
备	bei
餈	ci
复	fu
餍	yan
夏	xia,jia
餐	can
夔	kui
夕	xi
外	wai
夙	su
多	duo
夜	ye
够	gou
夤	yin
夥	huo
大	da,dai
天	tian
太	tai
夫	fu
夭	yao
央	yang
餮	tie
夯	hang,ben
失	shi
头	tou
夷	yi
夸	kua
夹	jia,ga
夺	duo
夼	kuang
餽	kui
奁	lian
奂	huan
奄	yan
奇	qi,ji
奈	nai
奉	feng
奋	fen
饍	shan
奎	kui
饎	chi
奏	zou
契	xie,qi,qie
奓	she
奔	ben
饔	yong
奕	yi
饕	tao
奖	jiang
套	tao
奘	zang,zhuang
奚	xi
奠	dian
奡	ao
奢	she
饣	shi,si
饤	ding
奥	ao
饥	ji
饦	tuo
饧	tang,xing
饨	tun
饩	xi
饪	ren
饫	yu
饬	chi
饭	fan
奭	shi
饮	yin
饯	jian
饰	shi
饱	bao
饲	si
奲	che
女	nu:,ru
奴	nu
饴	yi
饵	er
奶	nai
饶	rao
饷	xiang
奸	jian
饸	he
她	ta
饹	le
饺	jia,jiao
饼	bing
好	hao
饽	bo
饾	dou
饿	e
馀	yu
馁	nei
妁	shuo
如	ru
妃	fei
馃	guo
妄	wang
馄	hun
馅	xian
馆	guan
妆	zhuang
妇	fu
妈	ma
馈	kui
妊	ren
馊	sou
馋	chan
馌	ye
妍	yan
馍	mo
馎	bo
馏	liu
馐	xiu
馑	jin
妒	du
馒	man
妓	ji
馓	san
馔	zhuan
馕	nang
首	shou
妖	yao
妗	jin
馗	kui
馘	guo
香	xiang
妙	miao
馛	ba
妞	niu
妣	bi
妤	yu
妥	tuo
馥	fu
馨	xing,xin
妨	fang
妩	wu
妪	yu
妫	gui
妮	ni
妯	zhou
妲	da
妳	nai,ni
馵	zhu
妹	mei
馺	sa
妻	qi
馼	wen
妾	qie
駄	tuo,duo
駅	yi
姆	mu
駆	qu
駈	qu
駉	jiong
姊	zi
始	shi
姐	jie
姑	gu
姒	si
姓	xing
委	wei
姗	shan
姘	pin
姚	yao
姜	jiang
姝	shu
姣	jiao
姥	mu,lao
姨	yi
姪	zhi
駪	shen
姬	ji
姮	heng
駮	bo
姹	cha
駹	mang
姻	yin
駼	tu
姽	gui
姿	zi
威	wei
娃	wa
娄	lou
娅	ya
娆	rao
騆	zhou
娇	jiao
娈	luan
娉	ping
騉	kun
騋	lai
娌	li
娑	suo
騑	fei
騒	sao
娓	wei
験	yan
娘	niang
娜	na,nuo
娟	juan
娠	chen,shen,zhen
娣	di
騣	zong
娥	e
騨	tan,tuo
娩	wan,mian
娭	xi
娱	yu
娲	wa
娴	xian
娶	qu
娼	chang
婀	e
婆	po
婉	wan
婊	biao
驎	lin
驒	tuo
婓	fei
婕	jie
婚	hun
婠	wan
婢	bi
婧	jing
驩	huan
婪	lan
马	ma
驭	yu
驮	tuo,duo
驯	xun
驰	chi
驱	qu
驲	ri
驳	bo
婳	hua
驴	lu:
婴	ying
婵	chan
驵	zang
婶	shen
驶	shi
婷	ting
驷	si
驸	fu
驹	ju
驺	zou
婺	wu
驻	zhu
驼	tuo
驽	nu
驾	jia
驿	yi
婿	xu
骀	tai,dai
骁	xiao
骂	ma
骃	yin
骄	jiao
骅	hua
骆	luo
骇	hai
骈	pian
骉	biao
骊	li
骋	cheng
验	yan
骍	xing
骎	qin
骏	jun
骐	qi
骑	qi
媒	mei
骓	zhui
骕	su
骖	can
骗	pian
骘	zhi
骙	kui
媚	mei
骚	sao
媛	yuan
骛	wu
骜	ao
骝	liu
骞	qian
媞	ti,shi
骟	shan
骠	piao,biao
骡	luo
骢	cong
骤	zhou
骥	ji
骧	xiang
骨	gu
媪	ao
骰	shai,tou
媲	pi
媳	xi
媵	ying
骶	di
骷	ku
骸	hai
媸	chi
骹	qiao
骺	hou
骼	ge
媾	gou
髀	bi
嫁	jia
髁	ke
嫂	sao
髂	qia
髃	yu
嫄	yuan
髄	sui
髅	lou
髆	bo
髈	bang
嫉	ji
髋	kuan
嫌	xian
髌	bin
髎	liao
髑	du
嫒	ai
髓	sui
嫔	pin
嫖	piao
高	gao
嫘	lei
髙	gao
嫚	man
髟	shan,biao
嫠	li
髠	kun
髡	kun
嫡	di
髢	ti
嫣	yan
髤	xiu
髦	mao
嫦	chang
嫩	nen
嫪	lao
髪	fa
髫	tiao
嫫	mo
髭	zi
髯	ran
嫱	qiang
髳	mao
髷	qu
髹	xiu
髻	ji
髾	shao
鬃	zong
嬅	hua
鬈	qian,quan
嬉	xi
鬐	qi
鬓	bin
嬖	bi
嬗	shan
鬘	man
嬛	xuan,qiong,huan
鬛	lie
鬟	huan
鬣	lie
鬦	dou
鬪	dou
鬬	dou
鬭	dou
鬯	chang
鬰	yu
嬲	niao
鬲	li,ge
鬳	juan
嬴	ying
鬶	gui
嬷	ma
鬷	zong
鬻	yu
鬼	gui
孀	shuang
魁	kui
魂	hun
魃	ba
魄	bo,po,tuo
