耀	yao,yue
莓	mei
莕	xing
莘	shen,xin
莙	jun
莚	yan
莛	ting
莜	you
莝	cuo
莞	wan,guan
莟	han
莠	you
莤	you
莨	lang,liang
莩	piao,fu
莪	e
莫	mo
莬	wen
莭	jie
莰	kan
莱	lai
莲	lian
莳	shi
莴	zhua,wo
莶	xian
获	huo
莸	you
莹	ying
莺	ying
莼	chun
莽	mang
莿	ci
菀	wan,yu
菁	jing
菂	di
菅	jian
菇	gu
菈	la
菉	lu:,lu
菊	ju
菌	jun
菍	nie
菏	he
菑	zai
菓	guo
菔	fu
菖	chang
菘	song
菜	cai
菝	ba
菟	tu
菠	bo
菡	han
菥	xi
菩	pu
菪	dang
菫	jin
菰	gu
菱	ling
菲	fei
菵	wang
菶	beng
菹	zu
菻	lin
菼	tan
菽	shu
菿	dao
萁	qi,ji
萃	cui
萄	tao
萆	bei,bi
萋	qi
萌	meng
萍	ping
萎	wei
萏	dan
萐	sha
萑	huan
萘	nai
萜	tie
萝	luo
萠	meng
萣	ding
萤	ying
营	ying
萦	ying
萧	xiao
萨	sa
萩	qiu
萭	yu
萮	yu
萱	xuan
萳	nan
萸	yu
萹	pian,bian
萼	e
落	la,luo,lao
葂	wan
葅	ju
葆	bao
葇	rou
葊	an
葍	fu
葎	lu:
葑	feng
葖	tu
著	zhuo,zhao,zhu,zhe,zi
葙	xiang
葚	ren,shen
葛	ge
葜	qia
葠	shen
葡	pu
葢	ge
董	dong
葩	pa
葫	hu
葬	zang
葭	jia
葰	jun
葱	cong
葳	wei
葴	xian
葵	kui
葶	ting
葸	xi
葺	qi
蒀	yun
蒂	di
蒄	guan
蒆	qiong
蒇	chan
蒈	kai
蒉	kui
蒋	jiang
蒌	lou
蒎	pai
蒐	sou
蒗	lang
蒙	meng
蒜	suan
蒟	ju
蒡	bang,pang
蒢	chu
蒥	liu
蒨	qian
蒯	kuai
蒱	pu
蒲	pu
蒴	shuo
蒸	zheng
蒹	jian
蒺	ji
蒻	ruo
蒽	en
蒾	mi
蒿	hao
蓁	zhen
蓂	ming
蓄	xu
蓇	gu
蓈	lang
蓉	rong
蓊	weng
蓍	shi
蓐	ru
蓑	suo
蓓	bei
蓖	bi
蓘	gun
蓚	xiu
蓝	la,lan
蓟	ji
蓠	li
蓢	lang
蓣	yu
蓥	ying
蓦	mo
蓨	xiu
蓩	wu
蓪	tong
蓬	peng
蓭	an
蓰	xi
蓳	jin
蓺	yi
蓼	liao,lu
蓿	su,xu
蔀	bu
蔄	man
蔊	han
蔌	su
蔍	lu
蔎	she
蔑	mie
蔓	wan,man
蔕	di
蔗	zhe
蔚	wei,yu
蔟	cu
蔡	cai
蔪	jian
蔫	nian
蔬	shu
蔲	kou
蔴	ma
蔵	zang,cang
蔷	qiang
蔸	dou
蔹	lian
蔺	lin
蔻	kou
蔼	ai
蔽	bi
蕀	ji
蕃	fan,bo
蕅	ou
蕈	xun,jun
蕉	qiao,jiao
蕊	rui
蕑	jian
蕖	qu
蕗	lu
蕙	hui
蕚	e
蕞	zui
蕡	fen
蕣	shun
蕤	rui
蕨	jue
蕯	yong
蕰	wen
蕲	qi
蕴	yun
蕸	xia
蕹	weng
蕺	ji
蕻	hong
蕾	lei
薁	yu
薄	bao,bo
薅	hao
薇	wei
薏	yi
薐	leng
薖	ke
薗	yuan
薙	ti
薛	xue
薜	bi,bo
薢	xiao
薤	xie
薨	hong
薪	xin
薫	xun
薬	yao
薮	sou
薯	shu
薰	xun
薲	pin
薷	ru
薸	piao
薹	tai
薾	er
藁	gao
藂	cong
藉	jie,ji
藋	di
藏	zang,cang
藐	miao
藓	xian,li
藕	ou
藚	xu
藜	li
藞	la
藟	lei
藠	jiao
藤	teng
藦	mo
藨	biao
藩	fan
藳	gao
